Time (s),RF (V),DC (V),current (V)
7757.472682,1.4128,1.3,0.000973978613
7757.63962412,1.4128,1.3006,0.000548755003
7757.8109231,1.4128,1.3012,0.000444465754
7757.98192406,1.4128,1.3018,0.000421031713
7758.15078211,1.4128,1.3024,0.000410967566
7758.35525417,1.4128,1.303,0.000406322177
7758.55506396,1.4128,1.3036,0.000404663985
7758.75531197,1.4128,1.3042,0.000400331874
7758.95769,1.4128,1.3048,0.000402474496
7759.14771914,1.4128,1.3054,0.000402765254
7759.35704899,1.4128,1.306,0.000398094659
7759.55609798,1.4128,1.3066,0.00039843065
7759.75774813,1.4128,1.3072,0.000397001401
7759.95410514,1.4128,1.3078,0.000398616659
7760.15823102,1.4128,1.3084,0.000393579124
7760.35730505,1.4128,1.309,0.000397434948
7760.55106997,1.4128,1.3096,0.000396739589
7760.75536299,1.4128,1.3102,0.000398013011
7760.95708609,1.4128,1.3108,0.000395683512
7761.15865111,1.4128,1.3114,0.000396055918
7761.35781717,1.4128,1.312,0.000397001401
7761.56169105,1.4128,1.3126,0.000395991518
7761.75814009,1.4128,1.3132,0.00039568955
7761.95723414,1.4128,1.3138,0.000397826808
7762.158777,1.4128,1.3144,0.000397922832
7762.35948515,1.4128,1.315,0.000395280249
7762.56089902,1.4128,1.3156,0.000396329807
7762.76014805,1.4128,1.3162,0.000398823083
7762.96018815,1.4128,1.3168,0.0003945708
7763.15641904,1.4128,1.3174,0.000392394921
7763.36076713,1.4128,1.318,0.000394408077
7763.55637407,1.4128,1.3186,0.000396164305
7763.76140809,1.4128,1.3192,0.000397920819
7763.96038604,1.4128,1.3198,0.000395436934
7764.1619401,1.4128,1.3204,0.000395683992
7764.3633821,1.4128,1.321,0.000393554592
7764.56234908,1.4128,1.3216,0.000392782469
7764.76141214,1.4128,1.3222,0.000394650915
7764.96310306,1.4128,1.3228,0.000395675175
7765.16090512,1.4128,1.3234,0.000392290559
7765.36407113,1.4128,1.324,0.000391860558
7765.55970311,1.4128,1.3246,0.000396918987
7765.76317716,1.4128,1.3252,0.000396542555
7765.96430016,1.4128,1.3258,0.000395000322
7766.16134405,1.4128,1.3264,0.000396402352
7766.36141801,1.4128,1.327,0.000397932416
7766.56060505,1.4128,1.3276,0.000393276963
7766.7623291,1.4128,1.3282,0.000392820897
7766.96360111,1.4128,1.3288,0.000395685525
7767.16525912,1.4128,1.3294,0.000397600931
7767.36168408,1.4128,1.33,0.000395297691
7767.56605911,1.4128,1.3306,0.000394336105
7767.76223207,1.4128,1.3312,0.00039815906
7767.96641707,1.4128,1.3318,0.000392652135
7768.16542101,1.4128,1.3324,0.000394669603
7768.3644011,1.4128,1.333,0.00039544048
7768.56589913,1.4128,1.3336,0.000397856613
7768.76490998,1.4128,1.3342,0.000394477075
7768.96677804,1.4128,1.3348,0.000395475556
7769.16580606,1.4128,1.3354,0.000396750225
7769.36578417,1.4128,1.336,0.000395166304
7769.56740308,1.4128,1.3366,0.000397298484
7769.76542807,1.4128,1.3372,0.000397478362
7769.96749401,1.4128,1.3378,0.0004032241
7770.1690681,1.4128,1.3384,0.00040208235
7770.36801696,1.4128,1.339,0.000401012092
7770.56891704,1.4128,1.3396,0.000399281069
7770.76815701,1.4128,1.3402,0.000396839158
7770.96710801,1.4128,1.3408,0.000394718095
7771.16895819,1.4128,1.3414,0.000395935168
7771.36561799,1.4128,1.342,0.000398835926
7771.56937099,1.4128,1.3426,0.000398290446
7771.76758909,1.4128,1.3432,0.000395450064
7771.96962214,1.4128,1.3438,0.000394654941
7772.17149997,1.4128,1.3444,0.000393939933
7772.36939502,1.4128,1.345,0.000394203473
7772.56955409,1.4128,1.3456,0.000397003894
7772.76874399,1.4128,1.3462,0.00039927781
7772.97274208,1.4128,1.3468,0.000395870482
7773.17308211,1.4128,1.3474,0.000394746653
7773.36827898,1.4128,1.348,0.000398103477
7773.56445718,1.4128,1.3486,0.000398253071
7773.77124405,1.4128,1.3492,0.000392137706
7773.96934605,1.4128,1.3498,0.00039636469
7774.17197609,1.4128,1.3504,0.000396440687
7774.37296104,1.4128,1.351,0.000395941207
7774.57248402,1.4128,1.3516,0.00039610393
7774.76374102,1.4128,1.3522,0.000399181306
7774.97325301,1.4128,1.3528,0.00039861436
7775.16521001,1.4128,1.3534,0.00039348358
7775.37124705,1.4128,1.354,0.000396509972
7775.57266808,1.4128,1.3546,0.000398496583
7775.77422619,1.4128,1.3552,0.000393169823
7775.9732821,1.4128,1.3558,0.00039521307
7776.17315412,1.4128,1.3564,0.00039580982
7776.37508297,1.4128,1.357,0.00039634169
7776.57025719,1.4128,1.3576,0.000393323442
7776.77431512,1.4128,1.3582,0.000398090348
7776.97089815,1.4128,1.3588,0.000394086175
7777.17601109,1.4128,1.3594,0.000391481541
7777.37418318,1.4128,1.36,0.000393225406
7777.57582498,1.4128,1.3606,0.000397357612
7777.77493215,1.4128,1.3612,0.00039743974
7777.97606301,1.4128,1.3618,0.000394960647
7778.17068815,1.4128,1.3624,0.000394738315
7778.37847209,1.4128,1.363,0.000395397453
7778.57614803,1.4128,1.3636,0.000393431063
7778.77509499,1.4128,1.3642,0.000396045568
7778.97771215,1.4128,1.3648,0.000395952323
7779.17572713,1.4128,1.3654,0.000396705759
7779.37737703,1.4128,1.366,0.000395746186
7779.57593417,1.4128,1.3666,0.000395236549
7779.77819514,1.4128,1.3672,0.000396596126
7779.97490501,1.4128,1.3678,0.0003935061
7780.17863703,1.4128,1.3684,0.000393888376
7780.37781811,1.4128,1.369,0.000394627629
7780.5798521,1.4128,1.3696,0.000394753744
7780.77288198,1.4128,1.3702,0.000393372701
7780.97985411,1.4128,1.3708,0.000396070867
7781.17881417,1.4128,1.3714,0.000397902132
7781.380512,1.4128,1.372,0.000395411922
7781.57147908,1.4128,1.3726,0.000394541476
7781.78103614,1.4128,1.3732,0.000397056698
7781.98005199,1.4128,1.3738,0.00039931068
7782.17907596,1.4128,1.3744,0.000397616839
7782.38062811,1.4128,1.375,0.000396361144
7782.57966113,1.4128,1.3756,0.000398248759
7782.78108215,1.4128,1.3762,0.000397689384
7782.97763419,1.4128,1.3768,0.000396545815
7783.18283105,1.4128,1.3774,0.000399694682
7783.38074517,1.4128,1.378,0.000399794825
7783.58388495,1.4128,1.3786,0.000400526701
7783.78257108,1.4128,1.3792,0.000402152595
7783.984097,1.4128,1.3798,0.000410256584
7784.18209219,1.4128,1.3804,0.000416378753
7784.38137817,1.4128,1.381,0.000419842431
7784.58270097,1.4128,1.3816,0.000440084385
7784.78168917,1.4128,1.3822,0.000462998245
7784.98341203,1.4128,1.3828,0.000494147961
7785.18434,1.4128,1.3834,0.000537236309
7785.38130116,1.4128,1.384,0.00059985007
7785.58291316,1.4128,1.3846,0.000662013129
7785.78454399,1.4128,1.3852,0.000757947407
7785.98091507,1.4128,1.3858,0.000870576678
7786.18514109,1.4128,1.3864,0.00101102836
7786.38416696,1.4128,1.387,0.00116803579
7786.586169,1.4128,1.3876,0.00136612742
7786.78603601,1.4128,1.3882,0.00161322746
7786.98773718,1.4128,1.3888,0.00187910677
7787.1803441,1.4128,1.3894,0.00216096931
7787.38117003,1.4128,1.39,0.00249145339
7787.58594704,1.4128,1.3906,0.00286866937
7787.78493404,1.4128,1.3912,0.00326019997
7787.98662305,1.4128,1.3918,0.0036683257
7788.17767406,1.4128,1.3924,0.00407420349
7788.3846221,1.4128,1.393,0.00445806565
7788.58614802,1.4128,1.3936,0.00481070029
7788.78712916,1.4128,1.3942,0.00512284134
7788.98709297,1.4128,1.3948,0.00540419223
7789.18860507,1.4128,1.3954,0.00563409684
7789.38210702,1.4128,1.396,0.00583761154
7789.58900118,1.4128,1.3966,0.00599697856
7789.78587699,1.4128,1.3972,0.0061303601
7789.98972511,1.4128,1.3978,0.00625116236
7790.18995118,1.4128,1.3984,0.00635328071
7790.38887405,1.4128,1.399,0.00643992584
7790.59248614,1.4128,1.3996,0.00651793607
7790.78810215,1.4128,1.4002,0.0065809253
7790.98713899,1.4128,1.4008,0.00664405751
7791.18874097,1.4128,1.4014,0.00670611976
7791.38777614,1.4128,1.402,0.00676918777
7791.58626103,1.4128,1.4026,0.00684124238
7791.79099417,1.4128,1.4032,0.00693001461
7791.9875381,1.4128,1.4038,0.00702585573
7792.19153905,1.4128,1.4044,0.00714184758
7792.38804197,1.4128,1.405,0.00729973447
7792.58914018,1.4128,1.4056,0.00748758993
7792.791188,1.4128,1.4062,0.00770063519
7792.99290204,1.4128,1.4068,0.00794412014
7793.19194102,1.4128,1.4074,0.00821275472
7793.39375114,1.4128,1.408,0.00849576784
7793.5868361,1.4128,1.4086,0.00878773344
7793.7928741,1.4128,1.4092,0.00910484484
7793.98829913,1.4128,1.4098,0.00942393069
7794.19062901,1.4128,1.4104,0.00971575935
7794.39098001,1.4128,1.411,0.010009845
7794.59275603,1.4128,1.4116,0.0103156569
7794.79417205,1.4128,1.4122,0.0105997067
7794.99325514,1.4128,1.4128,0.010819464
7795.19479799,1.4128,1.4134,0.0110596524
7795.39388514,1.4128,1.414,0.0112811361
7795.59483314,1.4128,1.4146,0.0114647004
7795.78661609,1.4128,1.4152,0.0116687776
7795.99622798,1.4128,1.4158,0.011865643
7796.19528198,1.4128,1.4164,0.0120503817
7796.3968451,1.4128,1.417,0.0122269044
7796.5962081,1.4128,1.4176,0.0123619467
7796.79264617,1.4128,1.4182,0.012499124
7796.99428606,1.4128,1.4188,0.0126325594
7797.19924498,1.4128,1.4194,0.0127838655
7797.39086318,1.4128,1.42,0.0129411018
7798.73107815,1.4134,1.3,0.00096748653
7798.90047503,1.4134,1.3006,0.000538289126
7799.06977105,1.4134,1.3012,0.000445287136
7799.24093699,1.4134,1.3018,0.000423807889
