Time (s),Vsep-dc (div 10) (V),Vsep-rf (div 10) (V),DC Current (1 V = 1 nA) (V),AC current (A) (V),AC Voltage (V) (V)
131.124609947,6.75,10.3766666667,-0.000102136804,0.0,0.0
132.212818861,6.75,10.4,-0.000106046864,0.0,0.0
133.331104994,6.75,10.4233333333,-0.000104930631,0.0,0.0
134.410386801,6.75,10.4466666667,-7.14827726e-05,0.0,0.0
135.528476954,6.75,10.47,-6.60468507e-05,0.0,0.0
136.608328819,6.75,10.4933333333,3.08076589e-05,0.0,0.0
137.734675884,6.75,10.5166666667,4.21458421e-05,0.0,0.0
138.812913895,6.75,10.54,9.1158285e-05,0.0,0.0
139.933673859,6.75,10.5633333333,9.38521775e-05,0.0,0.0
141.01300478,6.75,10.5866666667,6.67276082e-05,0.0,0.0
142.134660006,6.75,10.61,6.60100206e-05,0.0,0.0
143.217107773,6.75,10.6333333333,8.22260089e-05,0.0,0.0
144.339767933,6.75,10.6566666667,9.77392452e-05,0.0,0.0
145.41967392,6.75,10.68,8.4429478e-05,0.0,0.0
146.548576832,6.75,10.7033333333,0.00010080041,0.0,0.0
147.630971909,6.75,10.7266666667,9.32227066e-05,0.0,0.0
148.753779888,6.75,10.75,0.000119454546,0.0,0.0
149.83581686,6.75,10.7733333333,0.000121357794,0.0,0.0
150.955046892,6.75,10.7966666667,0.000126655953,0.0,0.0
152.032183886,6.75,10.82,0.000141971248,0.0,0.0
153.149714947,6.75,10.8433333333,0.000156218028,0.0,0.0
154.231016874,6.75,10.8666666667,0.000178174686,0.0,0.0
155.347907782,6.75,10.89,0.000180187086,0.0,0.0
156.428645849,6.75,10.9133333333,0.000177239183,0.0,0.0
157.547925949,6.75,10.9366666667,0.000187347229,0.0,0.0
158.628291845,6.75,10.96,0.000156127984,0.0,0.0
159.746897936,6.75,10.9833333333,0.000151539674,0.0,0.0
160.829158783,6.75,11.0066666667,0.000139562547,0.0,0.0
161.950399876,6.75,11.03,0.000156411024,0.0,0.0
163.032432795,6.75,11.0533333333,0.000165980928,0.0,0.0
164.154666901,6.75,11.0766666667,0.000171847319,0.0,0.0
165.238520861,6.75,11.1,0.000178171668,0.0,0.0
166.357421875,6.75,11.1233333333,0.000129383789,0.0,0.0
167.444643974,6.75,11.1466666667,0.000226660386,0.0,0.0
168.568846941,6.75,11.17,0.000120101422,0.0,0.0
169.650324821,6.75,11.1933333333,0.000118482947,0.0,0.0
170.777414799,6.75,11.2166666667,0.000105263224,0.0,0.0
171.857106924,6.75,11.24,9.0315201e-05,0.0,0.0
172.975708961,6.75,11.2633333333,9.90246157e-05,0.0,0.0
174.056231976,6.75,11.2866666667,8.42450874e-05,0.0,0.0
175.183046818,6.75,11.31,0.000115163887,0.0,0.0
176.262933969,6.75,11.3333333333,8.28945928e-05,0.0,0.0
177.390263796,6.75,11.3566666667,8.41941568e-05,0.0,0.0
178.476620913,6.75,11.38,0.000157221225,0.0,0.0
179.603051901,6.75,11.4033333333,9.35725734e-05,0.0,0.0
180.683051825,6.75,11.4266666667,9.08019638e-05,0.0,0.0
181.806211948,6.75,11.45,7.17625082e-05,0.0,0.0
182.887452841,6.75,11.4733333333,9.60459805e-05,0.0,0.0
184.007867813,6.75,11.4966666667,8.09197971e-05,0.0,0.0
185.087006807,6.75,11.52,9.84301796e-05,0.0,0.0
186.213698864,6.75,11.5433333333,0.000114899119,0.0,0.0
187.292823792,6.75,11.5666666667,0.000114229025,0.0,0.0
188.403189898,6.75,11.59,8.68508631e-05,0.0,0.0
189.485922813,6.75,11.6133333333,0.00011414929,0.0,0.0
190.607827902,6.75,11.6366666667,0.000105217014,0.0,0.0
191.686100006,6.75,11.66,0.000120596148,0.0,0.0
192.806698799,6.75,11.6833333333,0.000130304682,0.0,0.0
193.894019842,6.75,11.7066666667,0.000102774145,0.0,0.0
195.013582945,6.75,11.73,0.000128858556,0.0,0.0
196.09423089,6.75,11.7533333333,0.000111346664,0.0,0.0
197.224529982,6.75,11.7766666667,0.000101825539,0.0,0.0
198.300641775,6.75,11.8,0.000101449019,0.0,0.0
199.420694828,6.75,11.8233333333,2.68659999e-05,0.0,0.0
200.50711894,6.75,11.8466666667,0.000119989028,0.0,0.0
201.625109911,6.75,11.87,9.1745431e-05,0.0,0.0
202.706901789,6.75,11.8933333333,0.000119231909,0.0,0.0
203.82878089,6.75,11.9166666667,0.000133548309,0.0,0.0
204.906908989,6.75,11.94,0.000147672163,0.0,0.0
206.02559185,6.75,11.9633333333,0.000124644614,0.0,0.0
207.111920834,6.75,11.9866666667,0.000110486399,0.0,0.0
208.225456953,6.75,12.01,0.000130822401,0.0,0.0
209.305976868,6.75,12.0333333333,0.000109901405,0.0,0.0
210.430644989,6.75,12.0566666667,0.000106818308,0.0,0.0
211.511146784,6.75,12.08,0.000117143852,0.0,0.0
